2016-01-03 18:52:24.2213 DEBUG ++@@547,543;	
2016-01-03 18:52:24.2213 DEBUG ++@@585,576;	
2016-01-03 18:52:24.2349 DEBUG ++@@576,586;	
2016-01-03 18:52:24.2349 DEBUG ++@@575,576;	
2016-01-03 18:52:24.2349 DEBUG ++@@573,576;	
2016-01-03 18:52:24.2349 DEBUG ++@@570,573;	
2016-01-03 18:52:24.2509 DEBUG ++@@554,570;	
2016-01-03 18:52:24.2509 DEBUG ++@@569,570;	
2016-01-03 18:52:24.2509 DEBUG ++@@560,591;	
2016-01-03 18:52:24.2509 DEBUG ++@@553,560;	
2016-01-03 18:52:24.2689 DEBUG ++@@591,553;	
2016-01-03 18:52:24.2689 DEBUG ++@@428,434;	
2016-01-03 18:52:24.2689 DEBUG ++@@435,428;	
2016-01-03 18:52:24.2689 DEBUG ++@@428,433;	
2016-01-03 18:52:24.2849 DEBUG ++@@347,346;	
2016-01-03 18:52:24.2849 DEBUG ++@@350,347;	
2016-01-03 18:52:24.2849 DEBUG ++@@166,165;	
2016-01-03 18:52:24.2980 DEBUG ++@@188,166;	
2016-01-03 18:52:24.2980 DEBUG ++@@165,188;	
2016-01-03 18:52:24.2980 DEBUG ++@@167,166;	
2016-01-03 18:52:24.2980 DEBUG ++@@188,167;	
2016-01-03 18:52:24.3140 DEBUG ++@@187,188;	
2016-01-03 18:52:24.3140 DEBUG ++@@165,187;	
2016-01-03 18:52:24.3140 DEBUG ++@@133,132;	
2016-01-03 18:52:24.3140 DEBUG ++@@134,133;	
2016-01-03 18:52:24.3300 DEBUG ++@@186,187;	
2016-01-03 18:52:24.3300 DEBUG ++@@165,186;	
2016-01-03 18:52:24.3300 DEBUG ++@@186,171;	
2016-01-03 18:52:24.3300 DEBUG ++@@171,187;	
2016-01-03 18:52:24.3450 DEBUG ++@@185,171;	
2016-01-03 18:52:24.3450 DEBUG ++@@186,185;	
2016-01-03 18:52:24.3450 DEBUG ++@@137,162;	
2016-01-03 18:52:24.3450 DEBUG ++@@162,136;	
2016-01-03 18:52:24.3620 DEBUG ++@@161,162;	
2016-01-03 18:52:24.3620 DEBUG ++@@137,161;	
2016-01-03 18:52:24.3620 DEBUG ++@@220,221;	
2016-01-03 18:52:24.3620 DEBUG ++@@216,220;	
2016-01-03 18:52:24.3800 DEBUG ++@@221,216;	
2016-01-03 18:52:24.3800 DEBUG ++@@141,140;	
2016-01-03 18:52:24.3800 DEBUG ++@@148,141;	
